,time,package_id,core_0,core_1,ram,fan
0,Tue Nov 23 18:23:34 2021,65.0,47.0,65.0,72.64796205448809,2543
1,Tue Nov 23 18:23:39 2021,51.0,46.0,47.0,73.35875420822103,2547
2,Tue Nov 23 18:23:44 2021,51.0,46.0,48.0,72.73769520919966,2547
3,Tue Nov 23 18:23:49 2021,50.0,46.0,48.0,73.30565329431525,2547
4,Tue Nov 23 18:23:54 2021,51.0,46.0,47.0,72.60689594015537,2547
5,Tue Nov 23 18:23:59 2021,50.0,45.0,47.0,72.60003399303037,2547
6,Tue Nov 23 18:24:04 2021,50.0,46.0,48.0,73.15088999454211,0
7,Tue Nov 23 18:24:09 2021,59.0,59.0,49.0,73.08754894415748,0
8,Tue Nov 23 18:24:14 2021,50.0,46.0,48.0,72.69969057896887,0
9,Tue Nov 23 18:24:19 2021,51.0,46.0,48.0,72.63444929707269,0
10,Tue Nov 23 18:24:24 2021,50.0,46.0,49.0,72.64690637031501,0
11,Tue Nov 23 18:24:29 2021,51.0,46.0,49.0,72.66084140139962,0
12,Tue Nov 23 18:24:34 2021,53.0,48.0,50.0,75.57199607707761,0
13,Tue Nov 23 18:24:39 2021,52.0,46.0,50.0,74.10691758168093,0
14,Tue Nov 23 18:24:44 2021,53.0,49.0,51.0,74.30232472211753,0
